"ID","Poet","Poetry"
"11","ahmad-faraz","aise chup haiñ ki ye manzil bhī kaḌī ho jaise 
terā milnā bhī judā.ī kī ghaḌī ho jaise 
apne hī saa.e se har gaam laraz jaatā huuñ 
rāste meñ koī dīvār khaḌī ho jaise 
kitne nādāñ haiñ tire bhūlne vaale ki tujhe 
yaad karne ke liye umr paḌī ho jaise 
tere māthe kī shikan pahle bhī dekhī thī magar 
ye girah ab ke mire dil meñ paḌī ho jaise 
manzileñ duur bhī haiñ manzileñ nazdīk bhī haiñ 
apne hī paañv meñ zanjīr paḌī ho jaise 
aaj dil khol ke ro.e haiñ to yuuñ ḳhush haiñ 'farāz' 
chand lamhoñ kī ye rāhat bhī baḌī ho jaise"
"12","ahmad-faraz","ajab junūn-e-masāfat meñ ghar se niklā thā 
ḳhabar nahīñ hai ki sūraj kidhar se niklā thā 
ye kaun phir se unhīñ rāstoñ meñ chhoḌ gayā 
abhī abhī to azāb-e-safar se niklā thā 
ye tiir dil meñ magar be-sabab nahīñ utrā 
koī to harf lab-e-chāragar se niklā thā 
ye ab jo aag banā shahr shahr phailā hai 
yahī dhuāñ mire dīvār-o-dar se niklā thā 
maiñ raat TuuT ke royā to chain se soyā 
ki dil kā zahr mirī chashm-e-tar se niklā thā 
ye ab jo sar haiñ ḳhamīda kulāh kī ḳhātir 
ye aib bhī to ham ahl-e-hunar se niklā thā 
vo qais ab jise majnūñ pukārte haiñ 'farāz' 
tirī tarah koī dīvāna ghar se niklā thā"
"13","ahmad-faraz","avval avval kī dostī hai abhī 
ik ġhazal hai ki ho rahī hai abhī 
maiñ bhī shahr-e-vafā meñ nau-vārid 
vo bhī ruk ruk ke chal rahī hai abhī 
maiñ bhī aisā kahāñ kā zūd-shanās 
vo bhī lagtā hai sochtī hai abhī 
dil kī vāraftagī hai apnī jagah 
phir bhī kuchh ehtiyāt sī hai abhī 
garche pahlā sā ijtināb nahīñ 
phir bhī kam kam supurdagī hai abhī 
kaisā mausam hai kuchh nahīñ khultā 
būñdā-bāndī bhī dhuup bhī hai abhī 
ḳhud-kalāmī meñ kab ye nashsha thā 
jis tarah rū-ba-rū koī hai abhī 
qurbateñ laakh ḳhūb-sūrat hoñ 
dūriyoñ meñ bhī dilkashī hai abhī 
fasl-e-gul meñ bahār pahlā gulāb 
kis kī zulfoñ meñ Tāñktī hai abhī 
muddateñ ho ga.iiñ 'farāz' magar 
vo jo dīvāngī ki thī hai abhī"
"14","ahmad-faraz","dost ban kar bhī nahīñ saath nibhāne vaalā 
vahī andāz hai zālim kā zamāne vaalā 
ab use log samajhte haiñ giraftār mirā 
saḳht nādim hai mujhe daam meñ laane vaalā 
sub.h-dam chhoḌ gayā nik.hat-e-gul kī sūrat 
raat ko ġhuncha-e-dil meñ simaT aane vaalā 
kyā kaheñ kitne marāsim the hamāre us se 
vo jo ik shaḳhs hai muñh pher ke jaane vaalā 
tere hote hue aa jaatī thī saarī duniyā 
aaj tanhā huuñ to koī nahīñ aane vaalā 
muntazir kis kā huuñ TuuTī huī dahlīz pe maiñ 
kaun aa.egā yahāñ kaun hai aane vaalā 
kyā ḳhabar thī jo mirī jaañ meñ ghulā hai itnā 
hai vahī mujh ko sar-e-dār bhī laane vaalā 
maiñ ne dekhā hai bahāroñ meñ chaman ko jalte 
hai koī ḳhvāb kī tābīr batāne vaalā 
tum takalluf ko bhī iḳhlās samajhte ho 'farāz' 
dost hotā nahīñ har haath milāne vaalā"
"15","ahmad-faraz","dukh fasāna nahīñ ki tujh se kaheñ 
dil bhī maanā nahīñ ki tujh se kaheñ 
aaj tak apnī bekalī kā sabab 
ḳhud bhī jaanā nahīñ ki tujh se kaheñ 
be-tarah hāl-e-dil hai aur tujh se 
dostāna nahīñ ki tujh se kaheñ 
ek tū harf-e-āshnā thā magar 
ab zamāna nahīñ ki tujh se kaheñ 
qāsidā ham faqīr logoñ kā 
ik Thikāna nahīñ ki tujh se kaheñ 
ai ḳhudā dard-e-dil hai baḳhshish-e-dost 
āb-o-dāna nahīñ ki tujh se kaheñ 
ab to apnā bhī us galī meñ 'farāz' 
aanā jaanā nahīñ ki tujh se kaheñ"
"16","ahmad-faraz","guftugū achchhī lagī zauq-e-nazar achchhā lagā 
muddatoñ ke baad koī ham-safar achchhā lagā 
dil kā dukh jaanā to dil kā mas.ala hai par hameñ 
us kā hañs denā hamāre haal par achchhā lagā 
har tarah kī be-sar-o-sāmāniyoñ ke bāvajūd 
aaj vo aayā to mujh ko apnā ghar achchhā lagā 
bāġhbāñ gulchīñ ko chāhe jo kahe ham ko to phuul 
shāḳh se baḌh kar kaf-e-dildār par achchhā lagā 
koī maqtal meñ na pahuñchā kaun zālim thā jise 
teġh-e-qātil se ziyāda apnā sar achchhā lagā 
ham bhī qaa.el haiñ vafā meñ ustuvārī ke magar 
koī pūchhe kaun kis ko umr bhar achchhā lagā 
apnī apnī chāhateñ haiñ log ab jo bhī kaheñ 
ik parī-paikar ko ik āshufta-sar achchhā lagā 
'mīr' ke mānind aksar ziist kartā thā 'farāz' 
thā to vo dīvāna sā shā.ir magar achchhā lagā"
"17","ahmad-faraz","har koī dil kī hathelī pe hai sahrā rakkhe 
kis ko sairāb kare vo kise pyāsā rakkhe 
umr bhar kaun nibhātā hai ta.alluq itnā 
ai mirī jaan ke dushman tujhe allāh rakkhe 
ham ko achchhā nahīñ lagtā koī hamnām tirā 
koī tujh sā ho to phir naam bhī tujh sā rakkhe 
dil bhī pāgal hai ki us shaḳhs se vābasta hai 
jo kisī aur kā hone de na apnā rakkhe 
kam nahīñ tama-e-ibādat bhī to hirs-e-zar se 
faqr to vo hai ki jo diin na duniyā rakkhe 
hañs na itnā bhī faqīroñ ke akele-pan par 
jā ḳhudā merī tarah tujh ko bhī tanhā rakkhe 
ye qanā.at hai itā.at hai ki chāhat hai 'farāz' 
ham to raazī haiñ vo jis haal meñ jaisā rakkhe"
"18","ahmad-faraz","havā ke zor se pindār-e-bām-o-dar bhī gayā 
charāġh ko jo bachāte the un kā ghar bhī gayā 
pukārte rahe mahfūz kashtiyoñ vaale 
maiñ Dūbtā huā dariyā ke paar utar bhī gayā 
ab ehtiyāt kī dīvār kyā uThāte ho 
jo chor dil meñ chhupā thā vo kaam kar bhī gayā 
maiñ chup rahā ki isī meñ thī āfiyat jaañ kī 
koī to merī tarah thā jo daar par bhī gayā 
sulagte sochte vīrān mausamoñ kī tarah 
kaḌā thā ahd-e-javānī magar guzar bhī gayā 
jise bhulā na sakā us ko yaad kyā rakhtā 
jo naam lab pe rahā zehn se utar bhī gayā 
phaTī phaTī huī āñkhoñ se yuuñ na dekh mujhe 
tujhe talāsh hai jis shaḳhs kī vo mar bhī gayā 
magar falak ko adāvat usī ke ghar se thī 
jahāñ 'farāz' na thā sail-e-ġham udhar bhī gayā"
"19","ahmad-faraz","huī hai shaam to āñkhoñ meñ bas gayā phir tū 
kahāñ gayā hai mire shahr ke musāfir tū 
mirī misāl ki ik naḳhl-e-ḳhushk-e-sahrā huuñ 
tirā ḳhayāl ki shāḳh-e-chaman kā taa.ir tū 
maiñ jāntā huuñ ki duniyā tujhe badal degī 
maiñ māntā huuñ ki aisā nahīñ ba-zāhir tū 
hañsī-ḳhushī se bichhaḌ jā agar bichhaḌnā hai 
ye har maqām pe kyā sochtā hai āḳhir tū 
fazā udaas hai rut muzmahil hai maiñ chup huuñ 
jo ho sake to chalā aa kisī kī ḳhātir tū 
'farāz' tū ne use mushkiloñ meñ Daal diyā 
zamāna sāhab-e-zar aur sirf shā.er tū"
"20","ahmad-faraz","is qadar musalsal thiiñ shiddateñ judā.ī kī 
aaj pahlī baar us se maiñ ne bevafā.ī kī 
varna ab talak yuuñ thā ḳhvāhishoñ kī bārish meñ 
yā to TuuT kar royā yā ġhazal-sarā.ī kī 
taj diyā thā kal jin ko ham ne terī chāhat meñ 
aaj un se majbūran taaza āshnā.ī kī 
ho chalā thā jab mujh ko iḳhtilāf apne se 
tū ne kis ghaḌī zālim merī ham-navā.ī kī 
tark kar chuke qāsid kū-e-nā-murādāñ ko 
kaun ab ḳhabar laave shahr-e-āshnā.ī kī 
tanz o ta.ana o tohmat sab hunar haiñ nāseh ke 
aap se koī pūchhe ham ne kyā burā.ī kī 
phir qafas meñ shor uTThā qaidiyoñ kā aur sayyād 
dekhnā uḌā degā phir ḳhabar rihā.ī kī 
dukh huā jab us dar par kal 'farāz' ko dekhā 
laakh aib the us meñ ḳhū na thī gadā.ī kī"
"21","ahmad-faraz","is se pahle ki be-vafā ho jaa.eñ 
kyuuñ na ai dost ham judā ho jaa.eñ 
tū bhī hiire se ban gayā patthar 
ham bhī kal jaane kyā se kyā ho jaa.eñ 
tū ki yaktā thā be-shumār huā 
ham bhī TūTeñ to jā-ba-jā ho jaa.eñ 
ham bhī majbūriyoñ kā uzr kareñ 
phir kahīñ aur mubtalā ho jaa.eñ 
ham agar manzileñ na ban paa.e 
manziloñ tak kā rāstā ho jaa.eñ 
der se soch meñ haiñ parvāne 
raakh ho jaa.eñ yā havā ho jaa.eñ 
ishq bhī khel hai nasīboñ kā 
ḳhaak ho jaa.eñ kīmiyā ho jaa.eñ 
ab ke gar tū mile to ham tujh se 
aise lipTeñ tirī qabā ho jaa.eñ 
bandagī ham ne chhoḌ dī hai 'farāz' 
kyā kareñ log jab ḳhudā ho jaa.eñ"
"22","ahmad-faraz","jab bhī dil khol ke ro.e hoñge 
log ārām se so.e hoñge 
ba.az auqāt ba-majbūrī-e-dil 
ham to kyā aap bhī ro.e hoñge 
sub.h tak dast-e-sabā ne kyā kyā 
phuul kāñToñ meñ piro.e hoñge 
vo safīne jinheñ tūfāñ na mile 
nā-ḳhudāoñ ne Dubo.e hoñge 
raat bhar hañste hue tāroñ ne 
un ke aariz bhī bhigo.e hoñge 
kyā ajab hai vo mile bhī hoñ 'farāz' 
ham kisī dhyān meñ kho.e hoñge"
"23","ahmad-faraz","jis samt bhī dekhūñ nazar aatā hai ki tum ho 
ai jān-e-jahāñ ye koī tum sā hai ki tum ho 
ye ḳhvāb hai ḳhushbū hai ki jhoñkā hai ki pal hai 
ye dhund hai bādal hai ki saayā hai ki tum ho 
is diid kī saa.at meñ ka.ī rañg haiñ larzāñ 
maiñ huuñ ki koī aur hai duniyā hai ki tum ho 
dekho ye kisī aur kī āñkheñ haiñ ki merī 
dekhūñ ye kisī aur kā chehra hai ki tum ho 
ye umr-e-gurezāñ kahīñ Thahre to ye jānūñ 
har saañs meñ mujh ko yahī lagtā hai ki tum ho 
har bazm meñ mauzū-e-suḳhan dil-zadagāñ kā 
ab kaun hai shīrīñ hai ki lailā hai ki tum ho 
ik dard kā phailā huā sahrā hai ki maiñ huuñ 
ik mauj meñ aayā huā dariyā hai ki tum ho 
vo vaqt na aa.e ki dil-e-zār bhī soche 
is shahr meñ tanhā koī ham sā hai ki tum ho 
ābād ham āshufta-saroñ se nahīñ maqtal 
ye rasm abhī shahr meñ zinda hai ki tum ho 
ai jān-e-'farāz' itnī bhī taufīq kise thī 
ham ko ġham-e-hastī bhī gavārā hai ki tum ho"
"24","ahmad-faraz","jo ġhair the vo isī baat par hamāre hue 
ki ham se dost bahut be-ḳhabar hamāre hue 
kise ḳhabar vo mohabbat thī yā raqābat thī 
bahut se log tujhe dekh kar hamāre hue 
ab ik hujūm-e-shikasta-dilāñ hai saath apne 
jinheñ koī na milā ham-safar hamāre hue 
kisī ne ġham to kisī ne mizāj-e-ġham baḳhshā 
sab apnī apnī jagah chāragar hamāre hue 
bujhā ke taaq kī sham.eñ na dekh tāroñ ko 
isī junūñ meñ to barbād ghar hamāre hue 
vo e'timād kahāñ se 'farāz' lā.eñge 
kisī ko chhoḌ ke vo ab agar hamāre hue"
"25","ahmad-faraz","juz tire koī bhī din raat na jaane mere 
tū kahāñ hai magar ai dost purāne mere 
tū bhī ḳhushbū hai magar merā tajassus bekār 
barg-e-āvāra kī mānind Thikāne mere 
sham.a kī lau thī ki vo tū thā magar hijr kī raat 
der tak rotā rahā koī sirhāne mere 
ḳhalq kī be-ḳhabarī hai ki mirī rusvā.ī 
log mujh ko hī sunāte haiñ fasāne mere 
luT ke bhī ḳhush huuñ ki ashkoñ se bharā hai dāman 
dekh ġhārat-gar-e-dil ye bhī ḳhazāne mere 
aaj ik aur baras biit gayā us ke baġhair 
jis ke hote hue hote the zamāne mere 
kaash tū bhī merī āvāz kahīñ suntā ho 
phir pukārā hai tujhe dil kī sadā ne mere 
kaash tū bhī kabhī aa jaa.e masīhā.ī ko 
log aate haiñ bahut dil ko dukhāne mere 
kaash auroñ kī tarah maiñ bhī kabhī kah saktā 
baat sun lī hai mirī aaj ḳhudā ne mere 
tū hai kis haal meñ ai zūd-farāmosh mire 
mujh ko to chhīn liyā ahd-e-vafā ne mere 
chārāgar yuuñ to bahut haiñ magar ai jān-e-'farāz' 
juz tire aur koī zaḳhm na jaane mere"
"26","ahmad-faraz","karūñ na yaad magar kis tarah bhulā.ūñ use 
ġhazal bahāna karūñ aur gungunā.ūñ use 
vo ḳhaar ḳhaar hai shāḳh-e-gulāb kī mānind 
maiñ zaḳhm zaḳhm huuñ phir bhī gale lagā.ūñ use 
ye log tazkire karte haiñ apne logoñ ke 
maiñ kaise baat karūñ ab kahāñ se lā.ūñ use 
magar vo zūd-farāmosh zūd-ranj bhī hai 
ki ruuTh jaa.e agar yaad kuchh dilā.ūñ use 
vahī jo daulat-e-dil hai vahī jo rāhat-e-jāñ 
tumhārī baat pe ai nāseho gañvā.ūñ use 
jo ham-safar sar-e-manzil bichhaḌ rahā hai 'farāz' 
ajab nahīñ hai agar yaad bhī na aa.uuñ use"
"27","ahmad-faraz","kaThin hai rāhguzar thoḌī duur saath chalo 
bahut kaḌā hai safar thoḌī duur saath chalo 
tamām umr kahāñ koī saath detā hai 
ye jāntā huuñ magar thoḌī duur saath chalo 
nashe meñ chuur huuñ maiñ bhī tumheñ bhī hosh nahīñ 
baḌā maza ho agar thoḌī duur saath chalo 
ye ek shab kī mulāqāt bhī ġhanīmat hai 
kise hai kal kī ḳhabar thoḌī duur saath chalo 
abhī to jaag rahe haiñ charāġh rāhoñ ke 
abhī hai duur sahar thoḌī duur saath chalo 
tavāf-e-manzil-e-jānāñ hameñ bhī karnā hai 
'farāz' tum bhī agar thoḌī duur saath chalo"
"28","ahmad-faraz","ḳhāmosh ho kyuuñ dād-e-jafā kyuuñ nahīñ dete 
bismil ho to qātil ko duā kyuuñ nahīñ dete 
vahshat kā sabab rauzan-e-zindāñ to nahīñ hai 
mehr o mah o anjum ko bujhā kyuuñ nahīñ dete 
ik ye bhī to andāz-e-ilāj-e-ġham-e-jāñ hai 
ai chāragaro dard baḌhā kyuuñ nahīñ dete 
munsif ho agar tum to kab insāf karoge 
mujrim haiñ agar ham to sazā kyuuñ nahīñ dete 
rahzan ho to hāzir hai matā-e-dil-o-jāñ bhī 
rahbar ho to manzil kā pata kyuuñ nahīñ dete 
kyā biit ga.ī ab ke 'farāz' ahl-e-chaman par 
yārān-e-qafas mujh ko sadā kyuuñ nahīñ dete"
"29","ahmad-faraz","kyā aise kam-suḳhan se koī guftugū kare 
jo mustaqil sukūt se dil ko lahū kare 
ab to hameñ bhī tark-e-marāsim kā dukh nahīñ 
par dil ye chāhtā hai ki āġhāz tū kare 
tere baġhair bhī to ġhanīmat hai zindagī 
ḳhud ko gañvā ke kaun tirī justujū kare 
ab to ye aarzū hai ki vo zaḳhm khā.iye 
tā-zindagī ye dil na koī aarzū kare 
tujh ko bhulā ke dil hai vo sharminda-e-nazar 
ab koī hādsa hī tire rū-ba-rū kare 
chup-chāp apnī aag meñ jalte raho 'farāz' 
duniyā to arz-e-hāl se be-ābrū kare"
"30","ahmad-faraz","maiñ to maqtal meñ bhī qismat kā sikandar niklā 
qur.a-e-fāl mire naam kā aksar niklā 
thā jinheñ zo.am vo dariyā bhī mujhī meñ Duube 
maiñ ki sahrā nazar aatā thā samundar niklā 
maiñ ne us jān-e-bahārāñ ko bahut yaad kiyā 
jab koī phuul mirī shāḳh-e-hunar par niklā 
shahr-vāloñ kī mohabbat kā maiñ qaa.el huuñ magar 
maiñ ne jis haath ko chūmā vahī ḳhanjar niklā 
tū yahīñ haar gayā hai mire buzdil dushman 
mujh se tanhā ke muqābil tirā lashkar niklā 
maiñ ki sahrā-e-mohabbat kā musāfir thā 'farāz' 
ek jhoñkā thā ki ḳhushbū ke safar par niklā"
"31","ahmad-faraz","phir usī rahguzār par shāyad 
ham kabhī mil sakeñ magar shāyad 
jin ke ham muntazir rahe un ko 
mil ga.e aur ham-safar shāyad 
jān-pahchān se bhī kyā hogā 
phir bhī ai dost ġhaur kar shāyad 
ajnabiyyat kī dhund chhaT jaa.e 
chamak uTThe tirī nazar shāyad 
zindagī bhar lahū rulā.egī 
yād-e-yārān-e-be-ḳhabar shāyad 
jo bhī bichhḌe vo kab mile haiñ 'farāz' 
phir bhī tū intizār kar shāyad"
"32","ahmad-faraz","qurbat bhī nahīñ dil se utar bhī nahīñ jaatā 
vo shaḳhs koī faisla kar bhī nahīñ jaatā 
āñkheñ haiñ ki ḳhālī nahīñ rahtī haiñ lahū se 
aur zaḳhm-e-judā.ī hai ki bhar bhī nahīñ jaatā 
vo rāhat-e-jāñ hai magar is dar-badrī meñ 
aisā hai ki ab dhyān udhar bhī nahīñ jaatā 
ham dohrī aziyyat ke giraftār musāfir 
paañv bhī haiñ shal shauq-e-safar bhī nahīñ jaatā 
dil ko tirī chāhat pe bharosa bhī bahut hai 
aur tujh se bichhaḌ jaane kā Dar bhī nahīñ jaatā 
pāgal hue jaate ho 'farāz' us se mile kyā 
itnī sī ḳhushī se koī mar bhī nahīñ jaatā"
"33","ahmad-faraz","qurbatoñ meñ bhī judā.ī ke zamāne māñge 
dil vo be-mehr ki rone ke bahāne māñge 
ham na hote to kisī aur ke charche hote 
ḳhilqat-e-shahr to kahne ko fasāne māñge 
yahī dil thā ki tarastā thā marāsim ke liye 
ab yahī tark-e-ta.alluq ke bahāne māñge 
apnā ye haal ki jī haar chuke luT bhī chuke 
aur mohabbat vahī andāz purāne māñge 
zindagī ham tire dāġhoñ se rahe sharminda 
aur tū hai ki sadā ā.īna-ḳhāne māñge 
dil kisī haal pe qaane hī nahīñ jān-e-'farāz' 
mil ga.e tum bhī to kyā aur na jaane māñge"
